id,title,translation,artist,artistKr,language,genre,genre1,genre2,theme,situation,target,emotion,sourceNote,media,sourceType,workTitle,tags,videoUrl,lyricsUrl,singCount,pick,thumbnailUrl,songIntro
S0001,바람꽃,,이선희,,한국어,발라드,발라드,,사랑 / 이별 / 그리움,사랑,이별,그리움,드라마 OST 푸른 바다의 전설,드라마,OST,푸른 바다의 전설,,https://www.youtube.com/watch?v=rX1f3rx-4cQ,https://music.bugs.co.kr/track/30485660?wl_ref=list_tr_08_search,1,False,https://img.youtube.com/vi/rX1f3rx-4cQ/hqdefault.jpg,드라마 OST 특유의 애틋한 정서와 이별 후 그리움을 담은 한국어 발라드.
S0002,영화 속에 나오는 주인공처럼,,펀치 (Punch),,한국어,발라드,발라드,,사랑 / 연인 / 설렘,사랑,연인,설렘,드라마 OST 동백꽃 필 무렵,드라마,OST,동백꽃 필 무렵,,https://www.youtube.com/watch?v=cOPgeisgLyE,https://music.bugs.co.kr/track/5782962?wl_ref=list_tr_08_search,1,False,https://img.youtube.com/vi/cOPgeisgLyE/hqdefault.jpg,연인과 함께하는 장면을 떠올리게 하는 설렘 중심의 한국어 드라마 OST 발라드.
S0003,なんでもないや,아무것도 아니야,RADWIMPS,래드윔프스,일본어,발라드 / 팝,발라드,팝,사랑 / 재회 / 그리움,사랑,재회,그리움,애니 영화 OST 너의 이름은,애니 영화,OST,너의 이름은,,https://www.youtube.com/watch?v=jPj8bKVCh70,https://m.blog.naver.com/dg094303/221818967219,1,False,https://img.youtube.com/vi/jPj8bKVCh70/hqdefault.jpg,애니 영화의 여운과 재회의 그리움을 잔잔하게 담은 일본어 팝 발라드.
S0004,かえるちゃん,카에루짱,魔法少女あふた〜ざれいん,마법소녀 애프터 더 레인,일본어,팝 / 인디,팝,인디,일상 / 캐릭터 / 발랄,일상,캐릭터,발랄,오리지널 인디,오리지널,인디,,,https://www.youtube.com/watch?v=DnC34i-lfXM,https://utaten.com/lyric/iz18031413/?utm_source=chatgpt.com,1,False,https://img.youtube.com/vi/DnC34i-lfXM/hqdefault.jpg,"캐릭터송 감성이 강한 발랄한 일본어 인디 팝으로, 귀여운 분위기의 곡."
S0005,心跳的证明,심장이 뛰는 증거,不是花火呀,부스화훠야,중국어,발라드 / 팝,발라드,팝,사랑 / 시작 / 설렘,사랑,시작,설렘,드라마 OST 장난스런 키스,드라마,OST,장난스런 키스,,https://www.youtube.com/watch?v=FbAzzuMMLL8,https://m.blog.naver.com/xiunim/221501379230,1,False,https://img.youtube.com/vi/FbAzzuMMLL8/hqdefault.jpg,사랑이 시작되는 순간의 두근거림을 담은 중국어 팝 발라드 계열의 드라마 OST.
S0006,너였다면,,정승환,,한국어,발라드,발라드,,사랑 / 이별상대 / 후회,사랑,이별상대,후회,드라마 OST 또! 오해영,드라마,OST,또! 오해영,,https://www.youtube.com/watch?v=RmiK7Lvh0Y0,https://music.bugs.co.kr/track/30269202?wl_ref=list_tr_08_search,0,False,https://img.youtube.com/vi/RmiK7Lvh0Y0/hqdefault.jpg,이별한 상대를 떠올리며 후회와 미련을 짙게 표현하는 한국어 드라마 OST 발라드.
S0007,チョコっとの答え,초콜릿 같은 대답,まぬんちゃん（CV:まふまふ）,마눈짱 (CV: 마후마후),일본어,팝,팝,,사랑 / 고백 / 설렘,사랑,고백,설렘,오리지널 캐릭터송,오리지널,캐릭터송,,,https://www.youtube.com/watch?v=B1gaZv8P-1w,https://m.blog.naver.com/saring16/222243238783,1,False,https://img.youtube.com/vi/B1gaZv8P-1w/hqdefault.jpg,고백 직전의 달콤한 설렘을 캐릭터송처럼 귀엽게 풀어낸 일본어 팝.
S0008,summertime,썸머타임,cinnamons × evening cinema,시나몬즈 × 이브닝 시네마,일본어,시티팝 / 팝,시티팝,팝,사랑 / 썸 / 설렘,사랑,썸,설렘,오리지널 인디 바이럴(틱톡),오리지널,인디,,바이럴(틱톡),https://www.youtube.com/watch?v=KMTo2LmixqQ,https://m.blog.naver.com/poi7789/221635310968,2,False,https://img.youtube.com/vi/KMTo2LmixqQ/hqdefault.jpg,여름과 썸의 가벼운 설렘이 살아 있는 시티팝 감성의 일본어 인디 팝.
S0009,撲殺天使ドクロちゃん,박살천사 도쿠로짱,千葉紗子,치바 사에코,일본어,팝 / 애니송,팝,애니송,일상 / 개그 / 광기,일상,개그,광기,애니 OP 박살천사 도쿠로짱,애니,OP,박살천사 도쿠로짱,,https://www.youtube.com/watch?v=LL98d6Rpjpg,https://blog.naver.com/mysky3412/80050006468,1,False,https://img.youtube.com/vi/LL98d6Rpjpg/hqdefault.jpg,"개그와 광기 코드가 강한 고에너지 애니송으로, 밈처럼 즐기기 좋은 곡."
S0010,밤편지,,아이유,,한국어,발라드,발라드,,사랑 / 고백 / 애틋함,사랑,고백,애틋함,,,,,,https://www.youtube.com/watch?v=BzYnNdJhZQw,https://music.bugs.co.kr/track/30598121?wl_ref=list_tr_08_search,2,False,https://img.youtube.com/vi/BzYnNdJhZQw/hqdefault.jpg,차분한 고백과 애틋한 마음을 편지처럼 전하는 한국어 발라드.
S0011,同担絶対めちゃくちゃ拒否,동담 절대 완전 거부,THIS IS NATS,디스 이즈 낫츠,일본어,팝 / 인디,팝,인디,팬덤 / 최애 / 질투,팬덤,최애,질투,"오리지널 인디 바이럴(유튜브), 밈곡",오리지널,인디,,"바이럴(유튜브), 밈곡",https://www.youtube.com/watch?v=fshCZAaGMZA,https://www.youtube.com/watch?v=fshCZAaGMZA&utm_source=chatgpt.com,1,False,https://img.youtube.com/vi/fshCZAaGMZA/hqdefault.jpg,최애와 팬덤 질투를 과장된 감정으로 풀어낸 일본어 인디 팝 밈곡.
S0012,絵空,공상,マルシィ,마르시,일본어,인디 / 팝,인디,팝,사랑 / 상상 / 그리움,사랑,상상,그리움,오리지널 인디,오리지널,인디,,,https://www.youtube.com/watch?v=wwmBAlispZI,https://m.blog.naver.com/shiraiyoru/222050451358,1,False,https://img.youtube.com/vi/wwmBAlispZI/hqdefault.jpg,상상 속 사랑과 그리움을 부드럽게 담은 일본어 인디 팝.
S0013,春夏秋冬,춘하추동,sumika,스미카,일본어,팝 / 발라드,팝,발라드,사랑 / 시간 / 추억,사랑,시간,추억,애니 영화 OST 너의 췌장을 먹고 싶어,애니 영화,OST,너의 췌장을 먹고 싶어,,https://www.youtube.com/watch?v=8yGckIYUH5U,https://jpoptranslate123.tistory.com/entry/%E6%98%A5%E5%A4%8F%E7%A7%8B%E5%86%AC-sumika-%EB%85%B8%EB%9E%98%EA%B0%80%EC%82%AC%EB%B2%88%EC%97%AD%EB%B0%9C%EC%9D%8C,1,False,https://img.youtube.com/vi/8yGckIYUH5U/hqdefault.jpg,시간과 계절의 흐름 속 추억을 담은 애니 영화 OST 계열의 일본어 팝 발라드.
S0014,最後のバイバイ。,마지막 작별,りりあ。,리리아,일본어,발라드 / 인디,발라드,인디,이별 / 연인 / 후회,이별,연인,후회,오리지널 인디 바이럴(유튜브),오리지널,인디,,바이럴(유튜브),https://www.youtube.com/watch?v=dkqt-QZV1R8,https://j-pop-playlist.tistory.com/573,1,False,https://img.youtube.com/vi/dkqt-QZV1R8/hqdefault.jpg,이별 뒤 남은 후회와 마지막 인사를 담담하게 풀어낸 일본어 인디 발라드.
